":ID",":LABEL","form_number","title","category","court_level","division","purpose","lanes","required_fields","filing_fee","priority"
"FORM_DM_102","Form","DM 102","Verified Statement (UCCJEA)","DM","circuit","family","Uniform Child Custody Jurisdiction Enforcement Act verified statement — REQUIRED","A","20","","1"
"FORM_FOC_10","Form","FOC 10","Uniform Child Support Order","FOC","circuit","family","Standard order setting child support amount and terms","A","38","","1"
"FORM_FOC_49","Form","FOC 49","Objection to FOC Recommendation","FOC","circuit","family","Objection to FOC recommendation — triggers de novo hearing","A","12","","1"
"FORM_FOC_51","Form","FOC 51","Objection to Referee Recommendation","FOC","circuit","family","Objection to referee recommendation — preserves de novo review","A","12","","1"
"FORM_FOC_52","Form","FOC 52","Motion for De Novo Hearing","FOC","circuit","family","Motion requesting de novo hearing after referee recommendation","A","10","","1"
"FORM_FOC_65","Form","FOC 65","Motion Regarding Parenting Time","FOC","circuit","family","Motion to modify or enforce parenting time order — CRITICAL for Lane A custody restoration","A","18","","1"
"FORM_FOC_66","Form","FOC 66","Response to Motion Regarding Parenting Time","FOC","circuit","family","Response to motion regarding parenting time — needed for opposition","A","15","","1"
"FORM_FOC_67","Form","FOC 67","Order Regarding Parenting Time","FOC","circuit","family","Court order on parenting time motion","A","12","","1"
"FORM_FOC_87","Form","FOC 87","Motion Regarding Custody","FOC","circuit","family","Standard SCAO motion regarding custody — verify vs FOC 115","A","18","","1"
"FORM_FOC_88","Form","FOC 88","Response to Motion Regarding Custody","FOC","circuit","family","Response to custody motion — needed for Emily's potential counter","A","15","","1"
"FORM_FOC_89","Form","FOC 89","Order Regarding Custody and Parenting Time","FOC","circuit","family","CORRECTED: Order (not motion) regarding custody and parenting time","A","15","","1"
"FORM_JTC_Request_for_Investigation","Form","JTC Request for Investigation","Request for Investigation (Judicial Tenure Commission)","JTC","jtc","misconduct","Request for JTC investigation of judicial misconduct — notarized, mail to Detroit","E","20","$0","1"
"FORM_MC_01","Form","MC 01","Case Inventory / Summons","MC","circuit","general","Summons and case inventory for initiating civil actions","A,B,D","22","$0","1"
"FORM_MC_01c","Form","MC 01c","Civil Case Cover Sheet","MC","circuit","civil","Required cover sheet for all new civil case filings","A,B,D","15","","1"
"FORM_MC_02","Form","MC 02","Proof of Service","MC","circuit","general","Documents service of process on opposing parties","A,B,D,E,F","12","","1"
"FORM_MC_05","Form","MC 05","Default / Default Judgment","MC","circuit","civil","Entry of default when opposing party fails to answer","B","15","","1"
"FORM_MC_09","Form","MC 09","Notice of Court Hearing/Trial","MC","circuit","general","Notice to parties of scheduled court hearing or trial date","A,B,D","10","","1"
"FORM_MC_10","Form","MC 10","Complaint (General Civil)","MC","circuit","civil","General civil complaint form for circuit/district court","B","25","","1"
"FORM_MC_12","Form","MC 12","Notice of Hearing / Order","MC","circuit","general","Notice of hearing date and order — required for ALL motions","A,B,D,F","10","","1"
"FORM_MC_14","Form","MC 14","Affidavit of Substantial Change in Circumstance","MC","circuit","family","Required affidavit showing proper cause or change of circumstances for custody/PT modifications","A","15","","1"
"FORM_MC_15","Form","MC 15","Motion / Stipulation and Order","MC","circuit","general","General purpose motion or stipulation with court order","A,B,D","15","","1"
"FORM_MC_20","Form","MC 20","Fee Waiver Request","MC","circuit","general","Request to waive court filing fees based on indigency","A,B,D,E,F","20","$0","1"
"FORM_MC_20a","Form","MC 20a","Fee Waiver Order","MC","circuit","general","Court order granting or denying fee waiver request","A,B,D,E,F","8","","1"
"FORM_MC_230","Form","MC 230","Application for Ex Parte Temporary Restraining Order","MC","circuit","civil","Application for emergency TRO — used for Shady Oaks property protection","B","52","","1"
"FORM_MC_264","Form","MC 264","Affidavit for Order to Show Cause / Disqualification","MC","circuit","general","Affidavit supporting disqualification motion or show cause — MCR 2.003","A,D,E","18","","1"
"FORM_MC_275","Form","MC 275","Motion for Contempt","MC","circuit","general","Motion to hold party in contempt for violating court order","A,D","15","","1"
"FORM_MC_55","Form","MC 55","Claim of Appeal","MC","circuit","general","Official SCAO form for filing claim of appeal to Court of Appeals","F","15","$375","1"
"FORM_MSC_Emergency_Application","Form","MSC Emergency Application","Emergency Application to Supreme Court","MSC","supreme","appellate","Emergency application to MSC — time-critical filings","F","15","$375","1"
"FORM_AG_Complaint","Form","AG Complaint","Attorney General Complaint Form","AG","state","misconduct","Complaint to Michigan Attorney General regarding official misconduct","E","20","$0","2"
"FORM_AO_240","Form","AO 240","Application to Proceed In Forma Pauperis","Federal","federal","civil","Federal IFP application — waiver of $405 filing fee","C","25","$0","2"
"FORM_AO_440","Form","AO 440","Federal Summons in a Civil Action","Federal","federal","civil","Federal summons form for §1983 and civil rights actions","C","10","","2"
"FORM_CC_200","Form","CC 200","Scheduling Order (Civil)","CC","circuit","civil","Scheduling order for civil case management","A,B","15","","2"
"FORM_CC_201","Form","CC 201","Order Compelling Discovery","CC","circuit","civil","Court order compelling party to respond to discovery requests","A,B,D","10","","2"
"FORM_CC_219","Form","CC 219","Default Judgment (Circuit)","CC","circuit","civil","Default judgment form for circuit court cases","B","15","","2"
"FORM_CC_220","Form","CC 220","Request for Entry of Default","CC","circuit","civil","Request clerk to enter default against non-responding party","B","10","","2"
"FORM_CC_225","Form","CC 225","Motion for Summary Disposition","CC","circuit","civil","Motion for summary disposition under MCR 2.116","A,B,D","12","","2"
"FORM_CC_226","Form","CC 226","Order on Summary Disposition","CC","circuit","civil","Court order on motion for summary disposition","A,B,D","10","","2"
"FORM_CC_250","Form","CC 250","Motion for Reconsideration","CC","circuit","general","Motion to reconsider a prior court ruling per MCR 2.119(F)","A,B,D","10","","2"
"FORM_CC_251","Form","CC 251","Order on Motion for Reconsideration","CC","circuit","general","Court order on motion for reconsideration","A,B,D","8","","2"
"FORM_CC_252","Form","CC 252","Motion to Stay Proceedings","CC","circuit","general","Motion requesting stay of proceedings pending appeal or other","A,D,F","10","","2"
"FORM_CC_253","Form","CC 253","Order Staying Proceedings","CC","circuit","general","Court order staying proceedings","A,D,F","8","","2"
"FORM_CC_257","Form","CC 257","Motion for Relief from Judgment","CC","circuit","civil","Motion for relief from judgment under MCR 2.612","A,B","12","","2"
"FORM_CC_290","Form","CC 290","Application for Leave to Appeal — Circuit Court","CC","circuit","general","Application for leave to appeal to circuit court from district court","F","15","","2"
"FORM_CC_296","Form","CC 296","Motion for Peremptory Reversal","CC","circuit","general","Motion requesting peremptory reversal without full briefing","F","10","","2"
"FORM_CC_386","Form","CC 386","PPO (Nondomestic / Stalking)","CC","circuit","family","PPO petition and order for stalking/nondomestic situations","D","25","$0","2"
"FORM_CC_390","Form","CC 390","Ex Parte Motion for Custody/PT","CC","circuit","family","Emergency ex parte motion regarding custody or parenting time","A","18","","2"
"FORM_COA_Motion","Form","COA Motion","Motion to Court of Appeals","COA","appellate","appellate","General motion filed in the Court of Appeals","F","12","","2"
"FORM_COA_Motion_for_Peremptory_Reversal","Form","COA Motion for Peremptory Reversal","Motion for Peremptory Reversal","COA","appellate","appellate","Motion requesting reversal without full briefing","F","12","","2"
"FORM_COA_Motion_to_Extend_Time","Form","COA Motion to Extend Time","Motion to Extend Time","COA","appellate","appellate","Motion to extend briefing/filing deadlines","F","8","","2"
"FORM_COA_Motion_to_Remand","Form","COA Motion to Remand","Motion to Remand","COA","appellate","appellate","Motion asking COA to remand case to trial court","F","12","","2"
"FORM_DC_100","Form","DC 100","Complaint (General Civil — District Court)","DC","district","civil","General civil complaint for district court (under $25K)","B","20","$75","2"
"FORM_DC_105","Form","DC 105","Summons (Landlord-Tenant)","DC","district","civil","Summons for landlord-tenant summary proceedings","B","10","","2"
"FORM_DC_107","Form","DC 107","Writ of Restitution (District)","DC","district","civil","Writ restoring possession to landlord after eviction","B","10","","2"
"FORM_DC_109","Form","DC 109","Notice to Quit (Non-Payment of Rent)","DC","district","civil","Notice to quit for failure to pay rent","B","10","","2"
"FORM_DC_110","Form","DC 110","Notice to Quit (Termination of Tenancy)","DC","district","civil","Notice to quit terminating tenancy for cause","B","10","","2"
"FORM_DC_112","Form","DC 112","Order of Eviction","DC","district","civil","Court order of eviction in summary proceedings","B","10","","2"
"FORM_DC_113","Form","DC 113","Motion to Set Aside Eviction","DC","district","civil","Motion to set aside order of eviction","B","10","","2"
"FORM_FOC_01","Form","FOC 01","Friend of the Court Case Questionnaire","FOC","circuit","family","Initial case information sheet for FOC — financial and family data","A","30","","2"
"FORM_FOC_03","Form","FOC 03","Information Regarding Custody","FOC","circuit","family","Information form regarding custody arrangement details","A","20","","2"
"FORM_FOC_100","Form","FOC 100","Domestic Relations Judgment Information Form","FOC","circuit","family","CORRECTED: Judgment information form (not parenting time motion)","A","30","","2"
"FORM_FOC_101","Form","FOC 101","Verified Statement of Income/Expenses","FOC","circuit","family","Verified financial statement for post-judgment proceedings","A","35","","2"
"FORM_FOC_102","Form","FOC 102","Motion for Change of Domicile","FOC","circuit","family","Motion seeking court permission to change child's domicile (100-mile rule)","A","15","","2"
"FORM_FOC_103","Form","FOC 103","Response to Motion for Change of Domicile","FOC","circuit","family","Response to domicile change motion","A","12","","2"
"FORM_FOC_104","Form","FOC 104","Order on Change of Domicile","FOC","circuit","family","Court order on motion to change domicile","A","10","","2"
"FORM_FOC_10a","Form","FOC 10a","Uniform Support Order Addendum","FOC","circuit","family","Addendum to uniform child support order","A","15","","2"
"FORM_FOC_11","Form","FOC 11","Support Recommendation","FOC","circuit","family","FOC recommendation regarding child support amount","A","20","","2"
"FORM_FOC_115","Form","FOC 115","Request for Health Care Expense Payment","FOC","circuit","family","CORRECTED: Healthcare expense payment request (not custody motion)","A","18","","2"
"FORM_FOC_116","Form","FOC 116","Objection to Enforcement of Health Care Expenses","FOC","circuit","family","CORRECTED: Objection to healthcare expense enforcement","A","15","","2"
"FORM_FOC_18","Form","FOC 18","Uniform Child Support Order Deviation Addendum","FOC","circuit","family","Addendum documenting deviation from child support formula","A","15","","2"
"FORM_FOC_20","Form","FOC 20","Motion for Contempt — Support","FOC","circuit","family","Motion to hold party in contempt for failure to pay support","A","15","","2"
"FORM_FOC_21","Form","FOC 21","Order on Motion for Contempt — Support","FOC","circuit","family","Court order on contempt motion for support non-payment","A","10","","2"
"FORM_FOC_24","Form","FOC 24","Order to Show Cause — Support","FOC","circuit","family","Order requiring appearance for support enforcement","A","10","","2"
"FORM_FOC_25","Form","FOC 25","Income Withholding Order","FOC","circuit","family","Order directing income withholding for support","A","12","","2"
"FORM_FOC_29","Form","FOC 29","Support Arrearage Computation","FOC","circuit","family","Computation of support arrearages","A","15","","2"
"FORM_FOC_30","Form","FOC 30","Motion for Modification of Support","FOC","circuit","family","Motion to modify child support amount","A","15","","2"
"FORM_FOC_31","Form","FOC 31","Response to Motion for Modification — Support","FOC","circuit","family","Response to motion to modify child support","A","12","","2"
"FORM_FOC_32","Form","FOC 32","Order on Motion for Modification — Support","FOC","circuit","family","Court order on support modification motion","A","10","","2"
"FORM_FOC_33","Form","FOC 33","Verified Statement for Support Modification","FOC","circuit","family","Verified financial statement for support modification","A","20","","2"
"FORM_FOC_35","Form","FOC 35","Support Calculation","FOC","circuit","family","Michigan Child Support Formula calculation form","A","25","","2"
"FORM_FOC_40","Form","FOC 40","Advice of Rights — Custody/Parenting Time","FOC","circuit","family","Advisement of rights regarding custody and parenting time modifications","A","10","","2"
"FORM_FOC_50","Form","FOC 50","Advice of Rights (Support/Parenting Time)","FOC","circuit","family","Advice of rights regarding support and parenting time proceedings","A","10","","2"
"FORM_FOC_53","Form","FOC 53","Order on Objection to Referee Recommendation","FOC","circuit","family","Court order on objection to referee recommendation","A","10","","2"
"FORM_FOC_58","Form","FOC 58","Motion to Limit FOC Access (DV)","FOC","circuit","family","Motion to limit FOC access due to domestic violence concerns","A,D","12","","2"
"FORM_FOC_59","Form","FOC 59","Order Limiting FOC Access (DV)","FOC","circuit","family","Court order limiting FOC access due to DV","A,D","10","","2"
"FORM_FOC_60","Form","FOC 60","Parenting Time Complaint","FOC","circuit","family","Complaint regarding parenting time violations to FOC","A","15","","2"
"FORM_FOC_61","Form","FOC 61","Notice Regarding Parenting Time Complaint","FOC","circuit","family","Notice of parenting time complaint to other party","A","10","","2"
"FORM_FOC_84","Form","FOC 84","Custody Evaluation Request","FOC","circuit","family","Request for FOC custody evaluation/investigation","A","12","","2"
"FORM_FOC_85","Form","FOC 85","Motion to Change Custody","FOC","circuit","family","Motion to change custody arrangement","A","15","","2"
"FORM_FOC_91","Form","FOC 91","Custody Affidavit","FOC","circuit","family","Sworn affidavit regarding custody facts and best interest factors","A","25","","2"
"FORM_FOIA_Request","Form","FOIA Request","Freedom of Information Act Request","FOIA","state","general","Standard FOIA request form for Michigan public records","A,B,E","10","","2"
"FORM_JS_44","Form","JS 44","Federal Civil Cover Sheet","Federal","federal","civil","Required cover sheet for all federal civil complaints — Nature of Suit codes","C","20","","2"
"FORM_JTC_Complaint_Form","Form","JTC Complaint Form","Formal Complaint to JTC","JTC","jtc","misconduct","Formal complaint to JTC about judicial conduct — requires detailed factual basis","E","25","$0","2"
"FORM_JTC_Supplemental_Statement","Form","JTC Supplemental Statement","Supplemental Statement to JTC","JTC","jtc","misconduct","Supplemental information to existing JTC complaint","E","15","","2"
"FORM_MC_03","Form","MC 03","Affidavit and Claim","MC","circuit","civil","Small claims affidavit and statement of claim","B","18","","2"
"FORM_MC_04","Form","MC 04","Order / Stipulation to Extend Time","MC","circuit","general","Court order or stipulation extending filing deadlines","A,B,D,F","10","","2"
"FORM_MC_06","Form","MC 06","Judgment","MC","circuit","civil","General judgment form for civil cases","B","20","","2"
"FORM_MC_07","Form","MC 07","Writ of Restitution","MC","circuit","civil","Writ restoring possession of premises to plaintiff","B","10","","2"
"FORM_MC_08","Form","MC 08","Notice to Quit","MC","circuit","civil","Notice to tenant to vacate premises","B","8","","2"
"FORM_MC_13","Form","MC 13","Objection to Proposed Order","MC","circuit","general","Objection form when opposing a proposed court order","A,D","12","","2"
"FORM_MC_16","Form","MC 16","General Subpoena","MC","circuit","general","Subpoena requiring attendance or document production","A,B,D,E","12","","2"
"FORM_MC_17","Form","MC 17","Request for Adjournment","MC","circuit","general","Request to postpone/reschedule a hearing","A,B,D,F","8","","2"
"FORM_MC_19","Form","MC 19","Order to Seize Property","MC","circuit","civil","Court order authorizing seizure of personal property","B","12","","2"
"FORM_MC_231","Form","MC 231","Domestic Relations Judgment Information","MC","circuit","family","Information form accompanying domestic relations judgments","A","37","","2"
"FORM_MC_25","Form","MC 25","Order Regarding Alternate Service","MC","circuit","general","Court order allowing alternate methods of service","A,B,D","12","","2"
"FORM_MC_30","Form","MC 30","Request and Writ for Garnishment (Periodic)","MC","circuit","civil","Request and writ for periodic garnishment of wages","B","20","$15","2"
"FORM_MC_50","Form","MC 50","Transcript Order Form","MC","circuit","general","Order form for court reporter transcripts","A,D,F","8","","2"
"FORM_MC_52","Form","MC 52","Motion for New Trial / Rehearing","MC","circuit","general","Motion requesting new trial or rehearing of matter","A,D","12","","2"
"FORM_MC_53","Form","MC 53","Motion to Set Aside Judgment","MC","circuit","civil","Motion to vacate/set aside a prior judgment (MCR 2.612)","A,B","12","","2"
"FORM_MC_56","Form","MC 56","Appeal Bond","MC","circuit","general","Bond required for certain appeals","F","10","","2"
"FORM_MC_60","Form","MC 60","Interrogatories","MC","circuit","civil","Standard interrogatory form for civil discovery","A,B,D","25","","2"
"FORM_MC_61","Form","MC 61","Request for Production of Documents","MC","circuit","civil","Request for document production in civil discovery","A,B,D","15","","2"
"FORM_MC_62","Form","MC 62","Request for Admissions","MC","circuit","civil","Request for admissions of fact in civil discovery","A,B,D","15","","2"
"FORM_MC_65","Form","MC 65","Subpoena Duces Tecum","MC","circuit","general","Subpoena commanding production of documents/records","A,B,D,E","14","","2"
"FORM_MSC_Application_for_Leave","Form","MSC Application for Leave","Application for Leave to Appeal to Supreme Court","MSC","supreme","appellate","Application for leave to appeal to Michigan Supreme Court","F","20","$375","2"
"FORM_MSC_Extraordinary_Writ","Form","MSC Extraordinary Writ","Complaint for Extraordinary Writ","MSC","supreme","appellate","Complaint seeking extraordinary writ (mandamus, superintending control)","F","20","$375","2"
"FORM_MiFILE_Filing_Cover","Form","MiFILE Filing Cover","MiFILE Electronic Filing Cover Sheet","MiFILE","circuit","general","Cover sheet for electronic filings through MiFILE","A,B,D,F","8","","2"
"FORM_MiFILE_Registration","Form","MiFILE Registration","MiFILE E-Filing System Registration","MiFILE","circuit","general","Registration form for Michigan e-filing system","A,B,D,F","5","","2"
"FORM_ADB_Grievance","Form","ADB Grievance","Attorney Discipline Board Grievance Form","ADB","state","misconduct","Grievance against attorney filed with Attorney Discipline Board","E","15","$0","3"
"FORM_AO_398","Form","AO 398","Waiver of Service of Summons (Federal)","Federal","federal","civil","Waiver of service of summons under FRCP 4(d)","C","10","","3"
"FORM_AO_399","Form","AO 399","Notice of Lawsuit (Federal)","Federal","federal","civil","Notice of lawsuit and request to waive service","C","8","","3"
"FORM_AO_450","Form","AO 450","Judgment in a Civil Case (Federal)","Federal","federal","civil","Federal judgment in civil case","C","10","","3"
"FORM_AO_85","Form","AO 85","Consent to Proceed Before a Magistrate Judge","Federal","federal","civil","Consent to magistrate judge jurisdiction","C","8","","3"
"FORM_AO_88A","Form","AO 88A","Subpoena to Appear (Federal)","Federal","federal","civil","Federal subpoena to appear and testify","C","12","","3"
"FORM_AO_88B","Form","AO 88B","Subpoena to Produce Documents (Federal)","Federal","federal","civil","Federal subpoena duces tecum for document production","C","12","","3"
"FORM_CC_202","Form","CC 202","Protective Order — Discovery","CC","circuit","civil","Protective order limiting scope of discovery","A,B","12","","3"
"FORM_CC_205","Form","CC 205","Order for Mediation","CC","circuit","civil","Court order referring case to mediation per MCR 2.411","A,B","10","","3"
"FORM_CC_210","Form","CC 210","Pretrial Order","CC","circuit","civil","Pretrial order establishing trial parameters","A,B","20","","3"
"FORM_CC_215","Form","CC 215","Judgment on Stipulation","CC","circuit","civil","Judgment entered per agreement/stipulation of parties","B","15","","3"
"FORM_CC_260","Form","CC 260","Motion to Intervene","CC","circuit","civil","Motion to intervene in pending case","B","12","","3"
"FORM_CC_270","Form","CC 270","Motion to Consolidate Cases","CC","circuit","general","Motion to consolidate related cases for efficiency","A,D","10","","3"
"FORM_CC_271","Form","CC 271","Order Consolidating Cases","CC","circuit","general","Court order consolidating cases","A,D","8","","3"
"FORM_CC_280","Form","CC 280","Order Appointing Attorney","CC","circuit","general","Court order appointing attorney for indigent party","A,D","10","","3"
"FORM_COA_Mediation_Request","Form","COA Mediation Request","Request for Appellate Mediation","COA","appellate","appellate","Request for mediation in the Court of Appeals","F","10","","3"
"FORM_COA_Stipulation_to_Dismiss","Form","COA Stipulation to Dismiss","Stipulation to Dismiss Appeal","COA","appellate","appellate","Stipulation to dismiss appeal by agreement of parties","F","8","","3"
"FORM_DC_101","Form","DC 101","Answer (District Court)","DC","district","civil","Answer to complaint in district court","B","15","","3"
"FORM_DC_102","Form","DC 102","Counterclaim (District Court)","DC","district","civil","Counterclaim filed in response to district court complaint","B","15","","3"
"FORM_DC_108","Form","DC 108","Claim of Exemption","DC","district","civil","Claim of exemption from execution or garnishment","B","12","","3"
"FORM_DC_111","Form","DC 111","Bond (District Court)","DC","district","civil","Bond form for district court proceedings","B","10","","3"
"FORM_DC_250","Form","DC 250","Appeal from District Court to Circuit Court","DC","district","general","Notice of appeal from district court to circuit court","F","12","$200","3"
"FORM_DC_251","Form","DC 251","Application for Leave to Appeal — District to Circuit","DC","district","general","Application for leave to appeal from district to circuit court","F","15","$200","3"
"FORM_DC_253","Form","DC 253","Stay of Proceedings — District Court","DC","district","general","Stay of district court proceedings pending appeal","B,F","8","","3"
"FORM_DC_290","Form","DC 290","Motion for Installment Payments","DC","district","civil","Motion requesting installment payment plan for judgment","B","10","","3"
"FORM_DC_291","Form","DC 291","Order for Installment Payments","DC","district","civil","Court order for installment payment plan","B","8","","3"
"FORM_DC_292","Form","DC 292","Satisfaction of Judgment (District)","DC","district","civil","Satisfaction of judgment in district court case","B","8","","3"
"FORM_DC_84","Form","DC 84","Affidavit and Claim (Small Claims)","DC","district","civil","Small claims affidavit and statement of claim (under $6,500)","B","15","$30","3"
"FORM_DC_85","Form","DC 85","Small Claims Judgment","DC","district","civil","Judgment form for small claims division","B","10","","3"
"FORM_DC_86","Form","DC 86","Notice of Hearing — Small Claims","DC","district","civil","Notice of hearing in small claims case","B","8","","3"
"FORM_DC_87","Form","DC 87","Counterclaim — Small Claims","DC","district","civil","Counterclaim in small claims proceedings","B","12","","3"
"FORM_DC_88","Form","DC 88","Motion to Set Aside — Small Claims","DC","district","civil","Motion to set aside small claims judgment","B","10","","3"
"FORM_DC_89","Form","DC 89","Transfer from Small Claims","DC","district","civil","Transfer of small claims case to general civil docket","B","8","","3"
"FORM_DM_103","Form","DM 103","Complaint for Divorce (With Children)","DM","circuit","family","Complaint for divorce when minor children exist","A","30","$175","3"
"FORM_DM_106","Form","DM 106","Judgment of Divorce (With Children)","DM","circuit","family","Final judgment of divorce with minor children provisions","A","35","","3"
"FORM_FOC_02","Form","FOC 02","Domestic Relations Judgment Data Form","FOC","circuit","family","Data form accompanying domestic relations judgments","A","25","","3"
"FORM_FOC_04","Form","FOC 04","Verified Statement of Payer","FOC","circuit","family","Verified financial statement of support payer","A","18","","3"
"FORM_FOC_105","Form","FOC 105","Judgment Information — Post-Judgment","FOC","circuit","family","Post-judgment information update form","A","20","","3"
"FORM_FOC_109","Form","FOC 109","Request for Transfer of FOC Case","FOC","circuit","family","Request to transfer FOC case to another county","A","12","","3"
"FORM_FOC_10b","Form","FOC 10b","Uniform Spousal Support Order","FOC","circuit","family","Order setting spousal support (alimony) terms","A","20","","3"
"FORM_FOC_10c","Form","FOC 10c","Uniform Spousal Support Order Addendum","FOC","circuit","family","Addendum to spousal support order","A","12","","3"
"FORM_FOC_19","Form","FOC 19","Notice Regarding Payment of Support","FOC","circuit","family","Notice regarding payment of support obligations","A","10","","3"
"FORM_FOC_22","Form","FOC 22","Notice of Lien","FOC","circuit","family","Notice of FOC support lien on property","A","12","","3"
"FORM_FOC_23","Form","FOC 23","Order Suspending License","FOC","circuit","family","Order suspending driver/occupational license for support arrears","A","10","","3"
"FORM_FOC_26","Form","FOC 26","Notice to Income Source","FOC","circuit","family","Notice to employer regarding income withholding","A","10","","3"
"FORM_FOC_34","Form","FOC 34","Affidavit of Ability to Pay","FOC","circuit","family","Affidavit regarding ability to pay support","A","15","","3"
"FORM_FOC_39","Form","FOC 39","Notice of Support Review","FOC","circuit","family","Notice of FOC review of support amount","A","8","","3"
"FORM_JC_04","Form","JC 04","Petition (Neglect/Abuse)","JC","probate","juvenile","Petition alleging child neglect or abuse — relevant if CPS involvement","A","22","","3"
"FORM_JC_05","Form","JC 05","Petition for Termination of Parental Rights","JC","probate","juvenile","Petition to terminate parental rights","A","25","","3"
"FORM_JC_06","Form","JC 06","Summons and Notice of Hearing (Abuse/Neglect)","JC","probate","juvenile","Summons for abuse/neglect proceedings","A","12","","3"
"FORM_JC_20","Form","JC 20","Guardian Ad Litem Report (Juvenile)","JC","probate","juvenile","GAL report in juvenile proceedings","A","20","","3"
"FORM_JC_51","Form","JC 51","Order Terminating Parental Rights","JC","probate","juvenile","Court order terminating parental rights","A","12","","3"
"FORM_JC_52","Form","JC 52","Order Following Termination Hearing","JC","probate","juvenile","Order following termination of parental rights hearing","A","12","","3"
"FORM_JIS_05","Form","JIS 05","Recusal / Reassignment Order","JIS","circuit","general","Order of recusal or reassignment of judge","A,E","10","","3"
"FORM_MC_01a","Form","MC 01a","Case Inventory Addendum (Continuation)","MC","circuit","general","Continuation sheet for MC 01 when additional parties exist","A,B","10","","3"
"FORM_MC_11","Form","MC 11","Case Inventory Addendum","MC","circuit","general","Additional case inventory information sheet","A,B","12","","3"
"FORM_MC_21","Form","MC 21","Motion for Costs","MC","circuit","civil","Motion requesting court to award costs to prevailing party","A,B","12","","3"
"FORM_MC_22","Form","MC 22","Bill of Costs","MC","circuit","civil","Itemized bill of costs for the prevailing party","A,B","15","","3"
"FORM_MC_23","Form","MC 23","Consent Judgment","MC","circuit","civil","Judgment agreed to by both parties","A,B","15","","3"
"FORM_MC_232","Form","MC 232","Order for Income Withholding","MC","circuit","family","Court order directing employer to withhold income for support","A","18","","3"
"FORM_MC_233","Form","MC 233","Notice of Income Withholding","MC","circuit","family","Notice to employer of income withholding obligation","A","12","","3"
"FORM_MC_234","Form","MC 234","Objection to Income Withholding","MC","circuit","family","Objection to proposed income withholding order","A","10","","3"
"FORM_MC_24","Form","MC 24","Judgment of Divorce / Separate Maintenance","MC","circuit","family","Final judgment of divorce or separate maintenance","A","25","","3"
"FORM_MC_250","Form","MC 250","Stipulation to Dismiss","MC","circuit","general","Stipulation and order dismissing case by agreement","A,B,D","8","","3"
