"Name","Description"
"image-to-video","Still-to-video conversion guide: model selection, motion prompting, and camera movement. Covers Wan 2.5 i2v, Seedance, Fabric, Grok Video with when to use each. Use for: animating images, creating video from stills, adding motion, product animations. Triggers: image to video, i2v, animate image, still to video, add motion to image, image animation, photo to video, animate still, wan i2v, image2video, bring image to life, animate photo, motion from image"
"java-docs","Java Documentation (Javadoc) Best Practices"
"litigation-analysis-engine","Full litigation intelligence pipeline: scan drives → analyze documents line-by-line → extract evidence/citations/claims → build per-case databases → produce judicial-grade court documents. Michigan-specific. Use when: analyze legal docs, build case database, generate court documents, extract evidence, score claims."
"logo-design-guide","Logo design principles and AI image generation best practices for creating logos. Covers logo types, prompting techniques, scalability rules, and iteration workflows. Use for: brand identity, startup logos, app icons, favicons, logo concepts. Triggers: logo design, create logo, brand logo, logo generation, ai logo, logo maker, icon design, brand mark, logo concept, startup logo, app icon logo"
"logo-design-guide","Logo design principles and AI image generation best practices for creating logos. Covers logo types, prompting techniques, scalability rules, and iteration workflows. Use for: brand identity, startup logos, app icons, favicons, logo concepts. Triggers: logo design, create logo, brand logo, logo generation, ai logo, logo maker, icon design, brand mark, logo concept, startup logo, app icon logo"
"make-repo-contribution","Contribution guidelines"
"michigan-litigation-writer","Judicial-grade Michigan court document writer. Knows MCR, MCL, MRE, all torts, all courts from 14th Circuit through Supreme Court, JTC, and Federal. Determines available filings from case evidence, writes IRAC-format briefs, motions, complaints, affidavits. Use when: write court document, draft motion, file complaint, analyze claims, determine available filings, legal strategy."
"microsoft-docs","Microsoft Docs"
"mkdocs-translations","MkDocs AI Translator"
"multi-stage-dockerfile","Multi-Stage Structure"
"npm-git-install","npm install Git Repository Guide"
"pdf","PDF Processing Guide"
"penpot-uiux-design","Penpot UI/UX Design Guide"
"power-bi-performance-troubleshooting","Power BI Performance Troubleshooting Guide"
"prd","Product Requirements Document (PRD)"
"project-workflow-analysis-blueprint-generator","Project Workflow Documentation Generator"
"prompt-engineering","Master prompt engineering for AI models: LLMs, image generators, video models. Techniques: chain-of-thought, few-shot, system prompts, negative prompts. Models: Claude, GPT-4, Gemini, FLUX, Veo, Stable Diffusion prompting. Use for: better AI outputs, consistent results, complex tasks, optimization. Triggers: prompt engineering, how to prompt, better prompts, prompt tips, prompting guide, llm prompting, image prompt, ai prompting, prompt optimization, prompt template, prompt structure, effective prompts, prompt techniques"
"prompt-engineering","Master prompt engineering for AI models: LLMs, image generators, video models. Techniques: chain-of-thought, few-shot, system prompts, negative prompts. Models: Claude, GPT-4, Gemini, FLUX, Veo, Stable Diffusion prompting. Use for: better AI outputs, consistent results, complex tasks, optimization. Triggers: prompt engineering, how to prompt, better prompts, prompt tips, prompting guide, llm prompting, image prompt, ai prompting, prompt optimization, prompt template, prompt structure, effective prompts, prompt techniques"
"python-code-style","Python Code Style & Documentation"
"rag-engineer","Expert in building Retrieval-Augmented Generation systems. Masters embedding models, vector databases, chunking strategies, and retrieval optimization for LLM applications. Use when: building RAG, vector search, embeddings, semantic search, document retrieval."
"readme-blueprint-generator","README Generator Prompt"
"screenshots","Generate marketing screenshots of your app using Playwright. Use when the user wants to create screenshots for Product Hunt, social media, landing pages, or documentation."
"technical-blog-writing","Technical blog post writing with structure, code examples, and developer audience conventions. Covers post types, code formatting, explanation depth, and developer-specific engagement patterns. Use for: engineering blogs, dev tutorials, technical writing, developer content, documentation posts. Triggers: technical blog, dev blog, engineering blog, technical writing, developer tutorial, tech post, code tutorial, programming blog, developer content, technical article, engineering post, coding tutorial, technical content"
"technical-blog-writing","Technical blog post writing with structure, code examples, and developer audience conventions. Covers post types, code formatting, explanation depth, and developer-specific engagement patterns. Use for: engineering blogs, dev tutorials, technical writing, developer content, documentation posts. Triggers: technical blog, dev blog, engineering blog, technical writing, developer tutorial, tech post, code tutorial, programming blog, developer content, technical article, engineering post, coding tutorial, technical content"
"technical-writing","Technical Writing"
"update-oo-component-documentation","Update Standard OO Component Documentation"
"user-guide-writing","User Guide Writing"
"web-design-guidelines","Web Interface Guidelines"
"wiki-architect","Wiki Architect"
"wiki-changelog","Wiki Changelog"
"wiki-onboarding","Wiki Onboarding Guide Generator"
"wiki-page-writer","One-line description"
"wiki-researcher","Wiki Researcher"
"wiki-vitepress","Wiki VitePress Packager"
"winui3-migration-guide","WinUI 3 Migration Guide"
