"Name","Description"
"ai-voice-cloning","AI voice generation, text-to-speech, and voice synthesis via inference.sh CLI. Models: Kokoro TTS, DIA, Chatterbox, Higgs, VibeVoice for natural speech. Capabilities: multiple voices, emotions, accents, long-form narration, conversation. Use for: voiceovers, audiobooks, podcasts, video narration, accessibility. Triggers: voice cloning, tts, text to speech, ai voice, voice generation, voice synthesis, voice over, narration, speech synthesis, ai narrator, elevenlabs alternative, natural voice, realistic speech, voice ai"
"analytics-tracking","Analytics Tracking & Measurement Strategy"
"application-performance-performance-optimization","Optimize end-to-end application performance with profiling, observability, and backend/frontend tuning. Use when coordinating performance optimization across the stack."
"background-removal","Remove backgrounds from images with BiRefNet via inference.sh CLI. Model: BiRefNet (high accuracy background removal). Use for: product photos, portraits, e-commerce, transparent PNGs, photo editing. Triggers: remove background, background removal, remove bg, transparent background, cut out image, background remover, rembg, product photo editing, cutout, transparent png, bg removal, photo cutout"
"background-removal","Remove backgrounds from images with BiRefNet via inference.sh CLI. Model: BiRefNet (high accuracy background removal). Use for: product photos, portraits, e-commerce, transparent PNGs, photo editing. Triggers: remove background, background removal, remove bg, transparent background, cut out image, background remover, rembg, product photo editing, cutout, transparent png, bg removal, photo cutout"
"bigquery-pipeline-audit","BigQuery Pipeline Audit: Cost, Safety and Production Readiness"
"billing-automation","Billing Automation"
"binary-analysis-patterns","Binary Analysis Patterns"
"clickhouse-io","ClickHouse Analytics Patterns"
"cosmosdb-datamodeling","Azure Cosmos DB NoSQL Data Modeling Expert System Prompt"
"creating-oracle-to-postgres-master-migration-plan","Creating an Oracle-to-PostgreSQL Master Migration Plan"
"data-analysis","Data Analysis"
"data-analyst","Data Analyst"
"data-engineering-data-pipeline","You are a data pipeline architecture expert specializing in scalable, reliable, and cost-effective data pipelines for batch and streaming data processing."
"data-storytelling","Data Storytelling"
"database-migration","Database Migration"
"database-migrations-migration-observability","Migration Observability and Real-time Monitoring"
"database-migrations-sql-migrations","SQL Database Migration Strategy and Implementation"
"datanalysis-credit-risk","Data Cleaning and Variable Screening"
"dataverse-python-advanced-patterns",""
"dataverse-python-production-code","System Instructions"
"dx-data-navigator","DX Data Navigator"
"error-diagnostics-error-trace","You are an error tracking and observability expert specializing in implementing comprehensive error monitoring solutions. Set up error tracking systems, configure alerts, implement structured logging,"
"gdpr-data-handling","GDPR Data Handling"
"litigation-pipeline-commander","litigation-pipeline-commander"
"litigation-witness-preparation","Witness credibility assessment and examination preparation for Michigan family law trials. Use when: prepare witness, credibility scoring, direct examination, cross-examination, expert witness, impeachment index, witness sequestration, character evidence."
"local-rag-pipeline","Local RAG pipeline using MANBEARPIG + FTS5. Multi-source retrieval, fact-checking, research reports. Zero network. Replaces Tavily+OpenRouter. Triggers: rag, retrieval, research, fact check, grounded, search and answer, knowledge retrieval, citation, pipeline"
"looker-studio-bigquery","Looker Studio BigQuery Integration"
"marketing-ideas","Marketing Ideas for SaaS (with Feasibility Scoring)"
"migrating-oracle-to-postgres-stored-procedures","Migrating Stored Procedures from Oracle to PostgreSQL"
"ml-pipeline-workflow","ML Pipeline Workflow"
"mobile-games","Mobile Game Development"
"monitoring-observability","Error rate is {{ $value }}% (threshold: 5%)"
"nano-banana","Generate images with Google Gemini native image models via inference.sh CLI. Models: Gemini 3 Pro Image, Gemini 2.5 Flash Image. Capabilities: text-to-image, image editing, multi-image input. Triggers: nano banana, gemini image, gemini 3 pro image, gemini 2.5 flash image, google image generation, native image generation, gemini native image"
"neon-postgres","Expert patterns for Neon serverless Postgres, branching, connection pooling, and Prisma/Drizzle integration Use when: neon database, serverless postgres, database branching, neon postgres, postgres serverless."
"observability-monitoring-monitor-setup","You are a monitoring and observability expert specializing in implementing comprehensive monitoring solutions. Set up metrics collection, distributed tracing, log aggregation, and create insightful da"
"postgresql-optimization","PostgreSQL Development Assistant"
"power-bi-dax-optimization","Power BI DAX Formula Optimizer"
"powerbi-modeling","Sum of all sales amounts"
"python-executor","Execute Python code in a safe sandboxed environment via [inference.sh](https://inference.sh). Pre-installed: NumPy, Pandas, Matplotlib, requests, BeautifulSoup, Selenium, Playwright, MoviePy, Pillow, OpenCV, trimesh, and 100+ more libraries. Use for: data processing, web scraping, image manipulation, video creation, 3D model processing, PDF generation, API calls, automation scripts. Triggers: python, execute code, run script, web scraping, data analysis, image processing, video editing, 3D models, automation, pandas, matplotlib"
"python-executor","Execute Python code in a safe sandboxed environment via [inference.sh](https://inference.sh). Pre-installed: NumPy, Pandas, Matplotlib, requests, BeautifulSoup, Selenium, Playwright, MoviePy, Pillow, OpenCV, trimesh, and 100+ more libraries. Use for: data processing, web scraping, image manipulation, video creation, 3D model processing, PDF generation, API calls, automation scripts. Triggers: python, execute code, run script, web scraping, data analysis, image processing, video editing, 3D models, automation, pandas, matplotlib"
"python-observability","Python Observability"
"qwen-image-2","Generate and edit images with Alibaba Qwen-Image-2.0 models via inference.sh CLI. Models: Qwen-Image-2.0 (fast), Qwen-Image-2.0-Pro (professional text rendering). Capabilities: text-to-image, multi-image editing, complex text rendering. Triggers: qwen image, qwen-image, alibaba image, dashscope image, qwen image 2, qwen image pro"
"schema-markup","Schema Markup & Structured Data"
"segment-cdp","Expert patterns for Segment Customer Data Platform including Analytics.js, server-side tracking, tracking plans with Protocols, identity resolution, destinations configuration, and data governance best practices. Use when: segment, analytics.js, customer data platform, cdp, tracking plan."
"service-mesh-observability","Service Mesh Observability"
"shuffle-json-data","Shuffle JSON Data"
"speech-to-text","Transcribe audio to text with Whisper models via inference.sh CLI. Models: Fast Whisper Large V3, Whisper V3 Large. Capabilities: transcription, translation, multi-language, timestamps. Use for: meeting transcription, subtitles, podcast transcripts, voice notes. Triggers: speech to text, transcription, whisper, audio to text, transcribe audio, voice to text, stt, automatic transcription, subtitles generation, transcribe meeting, audio transcription, whisper ai"
"speech-to-text","Transcribe audio to text with Whisper models via inference.sh CLI. Models: Fast Whisper Large V3, Whisper V3 Large. Capabilities: transcription, translation, multi-language, timestamps. Use for: meeting transcription, subtitles, podcast transcripts, voice notes. Triggers: speech to text, transcription, whisper, audio to text, transcribe audio, voice to text, stt, automatic transcription, subtitles generation, transcribe meeting, audio transcription, whisper ai"
"sql-optimization","SQL Performance Optimization Assistant"
"sql-optimization-patterns","SQL Optimization Patterns"
"text-to-speech","Convert text to natural speech with DIA TTS, Kokoro, Chatterbox, and more via inference.sh CLI. Models: DIA TTS (conversational), Kokoro TTS, Chatterbox, Higgs Audio, VibeVoice (podcasts). Capabilities: text-to-speech, voice cloning, multi-speaker dialogue, podcast generation, expressive speech. Use for: voiceovers, audiobooks, podcasts, accessibility, video narration, IVR, voice assistants. Triggers: text to speech, tts, voice generation, ai voice, speech synthesis, voice over, generate speech, ai narrator, voice cloning, text to audio, elevenlabs alternative, voice ai, ai voiceover, speech generator, natural voice"
"text-to-speech","Convert text to natural speech with DIA TTS, Kokoro, Chatterbox, and more via inference.sh CLI. Models: DIA TTS (conversational), Kokoro TTS, Chatterbox, Higgs Audio, VibeVoice (podcasts). Capabilities: text-to-speech, voice cloning, multi-speaker dialogue, podcast generation, expressive speech. Use for: voiceovers, audiobooks, podcasts, accessibility, video narration, IVR, voice assistants. Triggers: text to speech, tts, voice generation, ai voice, speech synthesis, voice over, generate speech, ai narrator, voice cloning, text to audio, elevenlabs alternative, voice ai, ai voiceover, speech generator, natural voice"
"top-100-web-vulnerabilities-reference","Top 100 Web Vulnerabilities Reference"
"twitter-automation","Automate Twitter/X with posting, engagement, and user management via inference.sh CLI. Apps: x/post-tweet, x/post-create (with media), x/post-like, x/post-retweet, x/dm-send, x/user-follow. Capabilities: post tweets, schedule content, like posts, retweet, send DMs, follow users, get profiles. Use for: social media automation, content scheduling, engagement bots, audience growth, X API. Triggers: twitter api, x api, tweet automation, post to twitter, twitter bot, social media automation, x automation, tweet scheduler, twitter integration, post tweet, twitter post, x post, send tweet"
"twitter-automation","Automate Twitter/X with posting, engagement, and user management via inference.sh CLI. Apps: x/post-tweet, x/post-create (with media), x/post-like, x/post-retweet, x/dm-send, x/user-follow. Capabilities: post tweets, schedule content, like posts, retweet, send DMs, follow users, get profiles. Use for: social media automation, content scheduling, engagement bots, audience growth, X API. Triggers: twitter api, x api, tweet automation, post to twitter, twitter bot, social media automation, x automation, tweet scheduler, twitter integration, post tweet, twitter post, x post, send tweet"
"vector-database-engineer","Expert in vector databases, embedding strategies, and semantic search implementation. Masters Pinecone, Weaviate, Qdrant, Milvus, and pgvector for RAG applications, recommendation systems, and similar"
"web-accessibility","Web Accessibility (A11y)"
"xlsx","Comprehensive spreadsheet creation, editing, and analysis with support for formulas, formatting, data analysis, and visualization. When Claude needs to work with spreadsheets (.xlsx, .xlsm, .csv, .tsv, etc) for: (1) Creating new spreadsheets with formulas and formatting, (2) Reading or analyzing data, (3) Modify existing spreadsheets while preserving formulas, (4) Data analysis and visualization in spreadsheets, or (5) Recalculating formulas"
