"Name","Description"
"hubspot-integration","Expert patterns for HubSpot CRM integration including OAuth authentication, CRM objects, associations, batch operations, webhooks, and custom objects. Covers Node.js and Python SDKs. Use when: hubspot, hubspot api, hubspot crm, hubspot integration, contacts api."
"hugging-face-cli","Execute Hugging Face Hub operations using the `hf` CLI. Use when the user needs to download models/datasets/spaces, upload files to Hub repositories, create repos, manage local cache, or run compute jobs on HF infrastructure. Covers authentication, file transfers, repository creation, cache operations, and cloud compute."
"hugging-face-jobs","This skill should be used when users want to run any workload on Hugging Face Jobs infrastructure. Covers UV scripts, Docker-based jobs, hardware selection, cost estimation, authentication with tokens, secrets management, timeout configuration, and result persistence. Designed for general-purpose compute workloads including data processing, inference, experiments, batch jobs, and any Python-based tasks. Should be invoked for tasks involving cloud compute, GPU workloads, or when users mention running jobs on Hugging Face infrastructure without local setup."
"integrating-clerk-expo","Clerk authentication in Expo (React Native)"
"k8s-security-policies","Kubernetes Security Policies"
"laravel-security-audit","Laravel Security Audit"
"litigation-authority-validator","litigation-authority-validator"
"litigation-evidence-authentication","litigation-evidence-authentication"
"local-legal-search","Local legal search over 694-table litigation database. Uses MANBEARPIG TF-IDF + FTS5 + BM25. Zero network, zero cost. Replaces Tavily/Exa. Triggers: search, legal search, find authority, MCR, MCL, case law, statute, research, look up"
"microsoft-azure-webjobs-extensions-authentication-events-dotnet","Microsoft.Azure.WebJobs.Extensions.AuthenticationEvents (.NET)"
"mobile-security-coder","Use this skill when"
"mtls-configuration","mTLS Configuration"
"nextjs-supabase-auth","Expert integration of Supabase Auth with Next.js App Router Use when: supabase auth next, authentication next.js, login supabase, auth middleware, protected route."
"plaid-fintech","Expert patterns for Plaid API integration including Link token flows, transactions sync, identity verification, Auth for ACH, balance checks, webhook handling, and fintech compliance best practices. Use when: plaid, bank account linking, bank connection, ach, account aggregation."
"security-auditor","Use this skill when"
"security-best-practices","Security Best Practices"
"security-bluebook-builder","Build security Blue Books for sensitive apps"
"security-compliance-compliance-check","You are a compliance expert specializing in regulatory requirements for software systems including GDPR, HIPAA, SOC2, PCI-DSS, and other industry standards. Perform compliance audits and provide implementation guidance."
"security-requirement-extraction","Security Requirement Extraction"
"security-scanning-security-dependencies","You are a security expert specializing in dependency vulnerability analysis, SBOM generation, and supply chain security. Scan project dependencies across ecosystems to identify vulnerabilities, assess risks, and recommend remediation."
"security-scanning-security-hardening","Coordinate multi-layer security scanning and hardening across application, infrastructure, and compliance controls."
"security-scanning-security-sast","SAST Security Plugin"
"security-scanning-tools","Security Scanning Tools"
"seo-authority-builder","Use this skill when"
"service-mesh-expert","Expert service mesh architect specializing in Istio, Linkerd, and cloud-native networking patterns. Masters traffic management, security policies, observability integration, and multi-cluster mesh con"
"slack-bot-builder","Build Slack apps using the Bolt framework across Python, JavaScript, and Java. Covers Block Kit for rich UIs, interactive components, slash commands, event handling, OAuth installation flows, and Workflow Builder integration. Focus on best practices for production-ready Slack apps. Use when: slack bot, slack app, bolt framework, block kit, slash command."
"solidity-security","Solidity Security"
"telegram-mini-app","Expert in building Telegram Mini Apps (TWA) - web apps that run inside Telegram with native-like experience. Covers the TON ecosystem, Telegram Web App API, payments, user authentication, and building viral mini apps that monetize. Use when: telegram mini app, TWA, telegram web app, TON app, mini app."
"twilio-communications","Build communication features with Twilio: SMS messaging, voice calls, WhatsApp Business API, and user verification (2FA). Covers the full spectrum from simple notifications to complex IVR systems and multi-channel authentication. Critical focus on compliance, rate limits, and error handling. Use when: twilio, send SMS, text message, voice call, phone verification."
"using-neon","Guides and best practices for working with Neon Serverless Postgres. Covers getting started, local development with Neon, choosing a connection method, Neon features, authentication (@neondatabase/auth), PostgREST-style data API (@neondatabase/neon-js), Neon CLI, and Neon's Platform API/SDKs. Use for any Neon-related questions."
"vulnerability-scanner","Vulnerability Scanner"
