src,dst,folder,size,ext,drive,lane,lit_score,ev_value
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00008_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00008_0.jp2,_UNKNOWN,2241750,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00010_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00010_1.jp2,_UNKNOWN,2239182,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057891608_redacted__images__32044057891608_00009_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057891608_redacted__images__32044057891608_00009_0.jp2,_UNKNOWN,2199258,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00013_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00013_0.jp2,_UNKNOWN,1718774,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00014_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00014_1.jp2,_UNKNOWN,1566415,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00013_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00013_1.jp2,_UNKNOWN,1405893,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00014_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044061407086_redacted__images__32044061407086_00014_0.jp2,_UNKNOWN,1326289,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__opencode-dev__opencode-dev__packages__desktop__src-tauri__icons__dev__icon.icns,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__opencode-dev__opencode-dev__packages__desktop__src-tauri__icons__dev__icon.icns,_UNKNOWN,1187792,.icns,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__opencode-dev__opencode-dev__packages__desktop__src-tauri__icons__prod__icon.icns,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__opencode-dev__opencode-dev__packages__desktop__src-tauri__icons__prod__icon.icns,_UNKNOWN,1010901,.icns,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__drive-download-20260118T124331Z-3-001__LEX COMPILED,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__drive-download-20260118T124331Z-3-001__LEX COMPILED,_UNKNOWN,795232,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-6v9KWDrqqLR6MUXuDyxXkJ-fa69f06d-8fb3-4de3-b594-28756fa6811d4310729057735800957,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-6v9KWDrqqLR6MUXuDyxXkJ-fa69f06d-8fb3-4de3-b594-28756fa6811d4310729057735800957,IMG,702726,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-RYpUgSxJLyjDzCxd2jULiH-e239bcf4-5dff-4543-92dc-3fc3c9b6f33c5797026979660448993,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-RYpUgSxJLyjDzCxd2jULiH-e239bcf4-5dff-4543-92dc-3fc3c9b6f33c5797026979660448993,IMG,698496,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-FhZ52ejUS4CVapbULCvse9-0ca2cfe1-ce3f-4e3c-8815-e2b41763b0f34955851530586040416,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-FhZ52ejUS4CVapbULCvse9-0ca2cfe1-ce3f-4e3c-8815-e2b41763b0f34955851530586040416,IMG,689442,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-CpJiUM9KJs9mg162yCWmqs-HOA3,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-CpJiUM9KJs9mg162yCWmqs-HOA3,IMG,646351,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-LKdjt6mNWi2BVaLoqXUyb5-de3874e2-22bf-4416-8888-5ccf67d148e62599234711344303865,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-LKdjt6mNWi2BVaLoqXUyb5-de3874e2-22bf-4416-8888-5ccf67d148e62599234711344303865,IMG,639151,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-CwVPvDi6XZNes7odbn5Pau-570fd316-0bc0-40e7-bc45-f00f94db5b1b6155849426083587434,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-CwVPvDi6XZNes7odbn5Pau-570fd316-0bc0-40e7-bc45-f00f94db5b1b6155849426083587434,IMG,631356,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-HqT41gG8P4XN3q9Yi53sg2-5a2fcfb0-bf36-4cdc-b9e5-c77e5df7456b8538356839296658643,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-HqT41gG8P4XN3q9Yi53sg2-5a2fcfb0-bf36-4cdc-b9e5-c77e5df7456b8538356839296658643,IMG,576230,,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-UnTbxSqb1rkuo85PnrfVHG-e3c8362f-fe6e-435c-a6d4-fe874797f50e4885790302595140168,I:\_ORGANIZED\IMG\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__CHAT GPT DATA EXPORT__file-UnTbxSqb1rkuo85PnrfVHG-e3c8362f-fe6e-435c-a6d4-fe874797f50e4885790302595140168,IMG,572582,,I,,0.0,none
