chron_id,date,event,proof_tag,source_files,source_count,sample_context
CHRON-014,2025-08-08,Defendant ex parte motion/order filing appears in scanned court packet,DOC_EXTRACTED,expartescannedandmine_0004.pdf,1,Scanned packet shows FILED 8/8/2025 and title 'Order Regarding Defendant's Ex Parte Motion to Suspend Plaintiff's Parenting Time' plus attached ex parte motion pages.
CHRON-015,2025-08-08,Plaintiff verified objection to ex parte suspension motion (filed packet),DOC_EXTRACTED,expartescannedandmine_0006.pdf,1,Scanned packet includes 'Verified Objection to Defendant's Emergency Ex Parte Motion to Suspend Parenting Time' with filed stamp 8/8/2025.
CHRON-016,2025-08-22,Hearing date shown in Plaintiff prep/slideshow packet,DOC_EXTRACTED,expartescannedandmine_0007.pdf,1,"Prep packet page states 'Date of Hearing: August 22, 2025' for emergency ex parte suspension objection hearing prep."
CHRON-017,2025-08-28,Evidentiary hearing continued to permit counsel / HealthWest records (narrative),DOC_RECITED_ANALYSIS,NoReply_20260105_131859_0010.pdf,1,"Narrative packet bullet: August 28, 2025 evidentiary hearing was continued; order allowed obtaining counsel and subpoenaing HealthWest records."
CHRON-018,2025-09-04,Evidentiary hearing held,DOC_EXTRACTED,2sided judge orders scanned_0001.pdf,1,"Order page recites evidentiary hearing held on September 4, 2025 before Judge McNeill."
CHRON-019,2025-09-09,Order following 9/4 hearing signed,DOC_RECITED_ANALYSIS,NoReply_20260105_131859_0010.pdf,1,"Narrative packet bullet: On September 9, 2025, Judge McNeill signed order following hearing; directed parties to complete HealthWest behavioral health assessment."
CHRON-020,2025-09-12,Hearing date set then rescheduled to 10/29/2025,DOC_EXTRACTED,2sided judge orders scanned_0001.pdf,1,Order recitation states a hearing set for 9/12/2025 was rescheduled to 10/29/2025.
CHRON-021,2025-10-08,HealthWest records/assessment discussion and no-contact concerns (narrative),DOC_RECITED_ANALYSIS,NoReply_20260105_131859_0011.pdf,1,"Narrative packet bullet: October 8, 2025 hearing discussion recited regarding defendant records and no-contact concerns."
CHRON-022,2025-10-29,Hearing appearance; oral disqualification motion denied; adjournment for second assessment issue,DOC_EXTRACTED / DOC_RECITED_ANALYSIS,2sided judge orders scanned_0001.pdf; NoReply_20260105_131859_0011.pdf,2,Court recitation and narrative packet both reference 10/29/2025 hearing; oral disqualification motion denial and adjournment for second HealthWest assessment issue.
CHRON-023,2025-11-23,Contempt jail term start (user position),USER_ASSERTED,personal_context_summary,1,User states 45-day contempt jail term began 11/23/2025.
CHRON-024,2025-11-26,PPO violation hearing and order following hearing date appears in packet/order pages,DOC_EXTRACTED / DOC_RECITED_ANALYSIS,2sided judge orders scanned_0001.pdf; NoReply_20260105_131859_0011.pdf,2,2-sided order title references hearing 11/26/2025; narrative packet lists PPO violation hearing 11/26/2025.
CHRON-025,2026-01-06,Contempt jail term end (user position),USER_ASSERTED,personal_context_summary,1,User states contempt jail term ended 01/06/2026.
