issue_id,doc,line_no,classification,refute_required,adverse_text,affirmative_counter_proposition
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,46,parenting_time_statute_reference,YES (adverse characterization),factors. MCL 722.27a(7).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,74,parenting_time_statute_reference,YES (adverse characterization),722.27a(9).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,2,parenting_time_restriction,YES (adverse characterization),"On 8/8/25, the Mother filed an ex parte motion to suspend the Father's parenting time.",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0003.pdf,11,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),set the matter for hearing on 8/22/25.,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,12,mental_health_assessment,YES (adverse characterization),"On 9/22/2025, the Court asked the Plaintiff to undergo an assessment",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,13,mental_health_assessment,YES (adverse characterization),at Health West.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0003.pdf,14,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),"The matter was then set for an evidentiary hearing on 9/4/25. At the evidentiary hearing, the",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,29,parenting_time_restriction,YES (adverse characterization),Court considered supervised parenting,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,34,parenting_time_restriction,YES (adverse characterization),exercise supervised parenting time.,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,37,mental_health_assessment,YES (adverse characterization),assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,44,mental_health_assessment,YES (adverse characterization),this assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,45,mental_health_assessment,YES (adverse characterization),at Health West.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,46,mental_health_assessment,YES (adverse characterization),The Court notes that the Plaintiff did email a HW assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,50,mental_health_assessment,YES (adverse characterization),The assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,25,contempt_or_violation,YES (adverse characterization),he again violated the PPO by contacting,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,28,mental_health_assessment,YES (adverse characterization),provided the assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,31,mental_health_assessment,YES (adverse characterization),The Court received the 2nd Assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0004.pdf,32,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),on 9/12/25. A hearing was set for 10/29/25.,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,35,mental_health_assessment,YES (adverse characterization),the second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,37,mental_health_assessment,YES (adverse characterization),to the Court reviewing a 2nd assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,38,mental_health_assessment,YES (adverse characterization),"from Health West, stating (under oath) that he did",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,39,mental_health_assessment,YES (adverse characterization),not obtain a second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0004.pdf,43,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),"heath west staff for the next hearing, which occurred on I 1/26/25. At that hearing, the two",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,64,contempt_or_violation,YES (adverse characterization),Court found him in contempt and sentenced,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,65,contempt_or_violation,YES (adverse characterization),him to jail.,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0004.pdf,66,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),"On 12/5/25, a hearing on the Father's 7'h",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,67,contempt_or_violation,YES (adverse characterization),PPO violation occurred. He pled guilty and,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,68,contempt_or_violation,YES (adverse characterization),received 45 days in jail.,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_ERRATIC_BEHAVIOR,NoReply_20260105_131630_0005.pdf,3,erratic_behavior,YES (adverse characterization),"Pierron, as the Father's actions in contacting her family, his erratic behavior and general",Behavioral characterizations must be supported by concrete record citations; vague labels cannot substitute for evidence or required findings and are rebuttable with objective records.
ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0005.pdf,6,best_interest_reference,YES (adverse characterization),The Court must look at the best interest factors and may consider the parenting time,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0005.pdf,7,record_fact_court_finds,NO (factual anchor; challenge via findings/evidence),factors under MCL 722.27a(7). The Court finds that the following fadors are applicable:,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0005.pdf,13,contempt_or_violation,YES (adverse characterization),"In fact, at one PPO violation hearing he was given a suspended sentence",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CREDIBILITY_DISHONESTY,NoReply_20260105_131630_0005.pdf,19,dishonesty_credibility,YES (adverse characterization),The moral fitness of the parties involved: The Father was not honest with Health West,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CREDIBILITY_DISHONESTY,NoReply_20260105_131630_0005.pdf,20,dishonesty_credibility,YES (adverse characterization),about his issues. Then he was not honest with the Court about the 2nd assessment. He,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0005.pdf,21,mental_health_assessment,YES (adverse characterization),testified that he did not obtain a 2nd assessment. The HW staff testified that he did,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0005.pdf,22,mental_health_assessment,YES (adverse characterization),obtain a second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131630_0005.pdf,25,ppo_allegations,YES (adverse characterization),witnessed by the child: The Father has a PPO against him. He has repeatedly,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0005.pdf,26,contempt_or_violation,YES (adverse characterization),"viofated the PPO, as this was his 7th violation.",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_ERRATIC_BEHAVIOR,NoReply_20260105_131630_0005.pdf,31,erratic_behavior,YES (adverse characterization),increasing erratic behavior is concerning to the Court. He describes being around,Behavioral characterizations must be supported by concrete record citations; vague labels cannot substitute for evidence or required findings and are rebuttable with objective records.
ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131630_0005.pdf,32,anger_characterization,YES (adverse characterization),"random men who beat him up and threaten him, being followed and other dangerous","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_CHILD_RISK,NoReply_20260105_131630_0005.pdf,33,risk_characterization,YES (adverse characterization),activities. These situations are harmful to the child and place him at risk.,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131630_0006.pdf,1,anger_characterization,YES (adverse characterization),"the Mother spoke, he lost control. The Father's anger is concerning.","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,7,parenting_time_restriction,YES (adverse characterization),"Based on all of the above, the Father's objection to the ex parte order suspending his",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,8,parenting_time_restriction,YES (adverse characterization),parenting time is denied. The Court also notes that it offered supervised,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,12,parenting_time_restriction,YES (adverse characterization),a motion for supervised,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_CONDITIONS_PREREQUISITES,NoReply_20260105_131630_0006.pdf,13,conditional_gate_therapy,YES (adverse characterization),"parenting time once the Father has engaged in therapy for at least 60 days, provided copies",Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0007.pdf,9,record_fact_judge_identification,NO (factual/procedural/meta),Judge:,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0007.pdf,46,procedural_fact_party_notification,NO (factual/procedural/meta),PTY NTF,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_JTC_META,NoReply_20260105_131859_0001.pdf,3,record_fact_form_rfi_no,"N/A (support, not refute; non-court narrative)",RFI No.,JTC intake/form pages are administrative; they do not constitute adjudicative findings in the custody/PT matter.
ISSUE_JTC_META,NoReply_20260105_131859_0004.pdf,41,record_fact_related_case_ppo_number,"N/A (support, not refute; non-court narrative)",PPO: 2023-5907-PP,JTC intake/form pages are administrative; they do not constitute adjudicative findings in the custody/PT matter.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0004.pdf,57,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)",conduct by Judge McNeill,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0004.pdf,80,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)",focuses on how Judge Jenny L. McNeill,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_JTC_META,NoReply_20260105_131859_0004.pdf,83,record_fact_related_case_ppo_reference,"N/A (support, not refute; non-court narrative)",in my PPO,JTC intake/form pages are administrative; they do not constitute adjudicative findings in the custody/PT matter.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0005.pdf,2,ex_parte_reference,"N/A (support, not refute; non-court narrative)",Ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0005.pdf,23,ex_parte_reference,"N/A (support, not refute; non-court narrative)",ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131859_0005.pdf,100,contempt_or_violation,"N/A (support, not refute; non-court narrative)",violates,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0005.pdf,126,ex_parte_reference,"N/A (support, not refute; non-court narrative)",on ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0005.pdf,143,ex_parte_reference,"N/A (support, not refute; non-court narrative)",ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0006.pdf,3,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)","2025, Judge McNeill",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0006.pdf,4,ex_parte_reference,"N/A (support, not refute; non-court narrative)","signed an ex parte ""emergency""",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0006.pdf,5,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",order suspending,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0006.pdf,16,ex_parte_reference,"N/A (support, not refute; non-court narrative)",for ex parte relief,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0006.pdf,20,ex_parte_reference,"N/A (support, not refute; non-court narrative)",(ex parte orders require,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0006.pdf,57,ex_parte_reference,"N/A (support, not refute; non-court narrative)",I was not served with the ex parte motion,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0006.pdf,72,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",time had been suspended.,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0006.pdf,75,ex_parte_reference,"N/A (support, not refute; non-court narrative)",ex parte handling,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0006.pdf,79,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation).,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,NoReply_20260105_131859_0006.pdf,96,mental_health_assessment,"N/A (support, not refute; non-court narrative)",evaluation,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,17,ppo_allegations,"N/A (support, not refute; non-court narrative)",after the same PPO/custody,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0007.pdf,35,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)",Judge McNeill,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,55,ppo_allegations,"N/A (support, not refute; non-court narrative)",to preside over both the PPO and custody,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131859_0007.pdf,66,contempt_or_violation,"N/A (support, not refute; non-court narrative)",my view-violates,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0007.pdf,71,ex_parte_reference,"N/A (support, not refute; non-court narrative)","of ex parte communications,",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,94,ppo_allegations,"N/A (support, not refute; non-court narrative)","of PPO,",PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,103,ppo_allegations,"N/A (support, not refute; non-court narrative)","from the PPO docket, custody",PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,115,ppo_allegations,"N/A (support, not refute; non-court narrative)",A. Eackground: Origin and Use of t1ie PPO,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,118,ppo_allegations,"N/A (support, not refute; non-court narrative)",PPO obtained,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0007.pdf,126,ppo_allegations,"N/A (support, not refute; non-court narrative)",a PPO against me in Case No. 2023-,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131859_0007.pdf,143,anger_characterization,"N/A (support, not refute; non-court narrative)","danger,","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131859_0008.pdf,2,anger_characterization,"N/A (support, not refute; non-court narrative)","danger, the PPO became the foundation","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131859_0008.pdf,3,contempt_or_violation,"N/A (support, not refute; non-court narrative)",for later contempt,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_JTC_META,NoReply_20260105_131859_0008.pdf,13,record_fact_related_case_ppo_reference,"N/A (support, not refute; non-court narrative)",the PPO case.,JTC intake/form pages are administrative; they do not constitute adjudicative findings in the custody/PT matter.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0008.pdf,17,ppo_allegations,"N/A (support, not refute; non-court narrative)",of the PPO involved,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0008.pdf,30,ppo_allegations,"N/A (support, not refute; non-court narrative)",PPO as leverage,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131859_0008.pdf,35,ppo_allegations,"N/A (support, not refute; non-court narrative)","Over time, the PPO became a tool to escalate benign",PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131859_0008.pdf,38,contempt_or_violation,"N/A (support, not refute; non-court narrative)","alleged ""violations,""",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_CONTEMPT_JAIL,NoReply_20260105_131859_0008.pdf,43,contempt_or_violation,"N/A (support, not refute; non-court narrative)","jail time, which",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0008.pdf,49,ex_parte_reference,"N/A (support, not refute; non-court narrative)",B. Ex Parte Paretxting-Time Suspension and Lack of Notice (August 2025),Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0008.pdf,52,ex_parte_reference,"N/A (support, not refute; non-court narrative)","6, 2025 - Ex parte",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131859_0008.pdf,54,parenting_time_restriction,"N/A (support, not refute; non-court narrative)",suspending,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_SERVICE_NOTICE,NoReply_20260105_131859_0008.pdf,59,record_fact_judge_identification,"N/A (support, not refute; non-court narrative)","6, 2025, Judge McNeill",Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_EX_PARTE_PROCEDURE,NoReply_20260105_131859_0008.pdf,60,ex_parte_reference,"N/A (support, not refute; non-court narrative)",signed an ex parte,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
