claim_id,issue_id,doc,line_no,classification,actor,status,proposition,affirmative_counter_proposition
C1cce8c1314c5,ISSUE_PARENTING_TIME_RESTRICTION,,48,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),in MCL 722.27a(7). The court may also impose any reasonable terms or conditions that,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cd5683caba36e,ISSUE_PARENTING_TIME_RESTRICTION,,49,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),facilitate the orderly and meaningful exercise of parenting time by a parent. MCL 722.27a(9).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C8ff5c67a8dcd,ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0002.pdf,2,best_interest_reference,court_text,UNLINKED (needs evidence linkage),factors in MCL 722.23 and the factors listed in the parenting time,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
C5b777be991e2,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,3,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),"statute, MCL 722.27a(7),",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C8722eddc18da,ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0002.pdf,8,best_interest_reference,court_text,UNLINKED (needs evidence linkage),"NW2d 480 (20'l O)- ""Custody decisions require findings under all of the best interest",Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
C515f3e68b4ba,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,41,restriction_prohibition,court_text,UNLINKED (needs evidence linkage),in a domestic violence shelter shall not be construed as,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cb97be8ad65fa,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,46,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),factors. MCL 722.27a(7).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cd91a08243c16,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,74,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),722.27a(9).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C1d6a496779a2,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,2,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),"On 8/8/25, the Mother filed an ex parte motion to suspend the Father's parenting time.",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C20f6c6b062fc,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,12,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),"On 9/22/2025, the Court asked the Plaintiff to undergo an assessment",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C6f35d780fecc,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,13,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),at Health West.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C8fc17501ba04,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,29,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),Court considered supervised parenting,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C838c9ea780ad,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0003.pdf,34,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),exercise supervised parenting time.,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cebe523d6760b,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,37,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C6ed988348cbd,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,44,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),this assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Cf40cba3f9b24,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,45,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),at Health West.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C28744be476d6,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,46,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),The Court notes that the Plaintiff did email a HW assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C1480c4c14bfa,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0003.pdf,50,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),The assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C6a370b0e8948,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,25,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),he again violated the PPO by contacting,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
C4c94d30ed374,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,28,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),provided the assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Cfd10218e0d94,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,31,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),The Court received the 2nd Assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Cfd1de4cbe89e,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,35,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),the second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C437d0527efe0,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,37,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),to the Court reviewing a 2nd assessment,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Cdd598a2f0727,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,38,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),"from Health West, stating (under oath) that he did",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Ccf3c31c390a9,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0004.pdf,39,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),not obtain a second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C6f94eb2e050c,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,64,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),Court found him in contempt and sentenced,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
C0a9a3eeeb3fe,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,65,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),him to jail.,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
Cd80e9bede30d,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,67,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),PPO violation occurred. He pled guilty and,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
C57f889b04431,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0004.pdf,68,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),received 45 days in jail.,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
Cbd878398cd03,ISSUE_ERRATIC_BEHAVIOR,NoReply_20260105_131630_0005.pdf,3,erratic_behavior,court_text,UNLINKED (needs evidence linkage),"Pierron, as the Father's actions in contacting her family, his erratic behavior and general",Behavioral characterizations must be supported by concrete record citations; vague labels cannot substitute for evidence or required findings and are rebuttable with objective records.
Cc4911660be0d,ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0005.pdf,6,best_interest_reference,court_text,UNLINKED (needs evidence linkage),The Court must look at the best interest factors and may consider the parenting time,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
Cbe4c73751301,ISSUE_SERVICE_NOTICE,NoReply_20260105_131630_0005.pdf,7,record_fact_court_finds,court_notice,UNLINKED (needs evidence linkage),factors under MCL 722.27a(7). The Court finds that the following fadors are applicable:,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
Cd97529380c1e,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0005.pdf,13,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),"In fact, at one PPO violation hearing he was given a suspended sentence",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
C5e21752d56c2,ISSUE_CREDIBILITY_DISHONESTY,NoReply_20260105_131630_0005.pdf,19,dishonesty_credibility,court_text,UNLINKED (needs evidence linkage),The moral fitness of the parties involved: The Father was not honest with Health West,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
Cddd4c08bce21,ISSUE_CREDIBILITY_DISHONESTY,NoReply_20260105_131630_0005.pdf,20,dishonesty_credibility,court_text,UNLINKED (needs evidence linkage),about his issues. Then he was not honest with the Court about the 2nd assessment. He,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
C52c53b8685ac,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0005.pdf,21,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),testified that he did not obtain a 2nd assessment. The HW staff testified that he did,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Ceb386aa1a8ac,ISSUE_MENTAL_HEALTH,NoReply_20260105_131630_0005.pdf,22,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),obtain a second assessment.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Cb8ae4059a4d3,ISSUE_PPO_ALLEGATIONS,NoReply_20260105_131630_0005.pdf,25,ppo_allegations,court_text,UNLINKED (needs evidence linkage),witnessed by the child: The Father has a PPO against him. He has repeatedly,PPO-based characterizations cannot justify parenting-time restrictions unless supported by admissible evidence and specific findings tied to the child’s welfare; conclusory labels and unproven violation counts are attackable.
C55c2b9935d8a,ISSUE_CONTEMPT_JAIL,NoReply_20260105_131630_0005.pdf,26,contempt_or_violation,court_text,UNLINKED (needs evidence linkage),"viofated the PPO, as this was his 7th violation.",Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
Cfc0e63305362,ISSUE_ERRATIC_BEHAVIOR,NoReply_20260105_131630_0005.pdf,31,erratic_behavior,court_text,UNLINKED (needs evidence linkage),increasing erratic behavior is concerning to the Court. He describes being around,Behavioral characterizations must be supported by concrete record citations; vague labels cannot substitute for evidence or required findings and are rebuttable with objective records.
Ca292e59343db,ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131630_0005.pdf,32,anger_characterization,court_text,UNLINKED (needs evidence linkage),"random men who beat him up and threaten him, being followed and other dangerous","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
C1ebf45fa7cac,ISSUE_CHILD_RISK,NoReply_20260105_131630_0005.pdf,33,risk_characterization,court_text,UNLINKED (needs evidence linkage),activities. These situations are harmful to the child and place him at risk.,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
C3b8a4bf5e2aa,ISSUE_ANGER_CHARACTERIZATION,NoReply_20260105_131630_0006.pdf,1,anger_characterization,court_text,UNLINKED (needs evidence linkage),"the Mother spoke, he lost control. The Father's anger is concerning.","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
C09c773f2bb9c,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,7,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),"Based on all of the above, the Father's objection to the ex parte order suspending his",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
C8e529913f494,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,8,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),parenting time is denied. The Court also notes that it offered supervised,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Ca58bec5f5ad4,ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0006.pdf,12,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),a motion for supervised,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cea03ddd0fe54,ISSUE_CONDITIONS_PREREQUISITES,NoReply_20260105_131630_0006.pdf,13,conditional_gate_therapy,court_text,UNLINKED (needs evidence linkage),"parenting time once the Father has engaged in therapy for at least 60 days, provided copies",Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
