file,line_no,text,topic_hits,anchor_strength
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,27,| 2024-11-19 | MEEK3 | RECORD_RECITED | OO-PPO-EXTEND-2024-11-19 — PPO Extension Order (2023-005907-PP) | Status=ACTIVE; Hearing=PPO expiration 2024-12-04 → 2025-12-04; DefectFlag=QUOTE_UNPINNED | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,4
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,31,| 2025-05-16 | MEEK3 | RECORD_RECITED | NO-PPO-VIOL-2025-05-16 — Hearing/Adjournment Event (2023-005907-PP) | Status=ADJOURNED; Hearing=PPO violation hearing; DefectFlag=QUOTE_UNPINNED | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,4
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,35,| 2025-08-08 | MEEK2 | RECORD_RECITED | OO-CUST-EXPARTE-2025-08-08 — Ex Parte Custody/PT Suspension (2024-001507-DC) | Status=ACTIVE_CHAIN_ROOT; Hearing=PT suspended pending objection chain; DefectFlag=NONSERVICE_ASSERTED; QUOTE_UNPINNED | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,4
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,37,| 2025-09-09 | MEEK2 | RECORD_RECITED | OO-CUST-CONTINUE-2025-09-09 — Continuance / Conditioning Order (2024-001507-DC) | Status=ACTIVE_CONTINUANCE; Hearing=Objection hearing to ex parte order; DefectFlag=NONSERVICE_ASSERTED (linked to eval/order service defects… | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,4
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,92,"| VM-06 | 14th Circuit Family | MEEK4 | Motion to disqualify judge (if current facts and timing support) | MED (fact-intensive, timing-sensitive) | Pattern allegations + specific rulings/handling + preserved record examples |",EXPARTE_USB_AUDIO;MEDICATION_CONDITION;SERVICE_NOTICE;BIAS_RECUSAL_JTC,4
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,103,"| VM-17 | 14th Circuit | MEEK2/MEEK3 | Motion to compel/issue subpoenas for third-party records (HealthWest, law enforcement, service records) | MED-HIGH | Critical facts currently live in third-party records and service logs |",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;MEDICATION_CONDITION;SERVICE_NOTICE,4
3055edeb-0469-492a-9865-021bb87dcc03.md,40,| CHRON-017 | 2025-08-28 | Evidentiary hearing continued to permit counsel / HealthWest records (narrative) | DOC_RECITED_ANALYSIS | NoReply_20260105_131859_0010.pdf |,EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;DUE_PROCESS_FINDINGS,3
3055edeb-0469-492a-9865-021bb87dcc03.md,52,"- The **2-sided judge-order scan packet** acts as the chronology spine: it recites the complaint/facilitative/FOC/judgment chain and later ex parte-hearing milestones (including 9/4/2025, 10/29/2025, and 11/26/2025 references).",EXPARTE_USB_AUDIO;FOC_SUPPORT;DUE_PROCESS_FINDINGS,3
3055edeb-0469-492a-9865-021bb87dcc03.md,63,| V-TRIAL-003 | Muskegon 14th Circuit (Family) | Motion to enforce parenting time / compensatory parenting time (or FOC enforcement) | CONDITIONAL on operative order terms | CHRON-012 + CHRON-023..CHRON-025 (subject to operative orders/PPO amendment) |,PARENTING_TIME;PPO;FOC_SUPPORT,3
3055edeb-0469-492a-9865-021bb87dcc03.md,80,- Complete signed **order chain** (ex parte + post-hearing orders) with proofs of service,EXPARTE_USB_AUDIO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
3055edeb-0469-492a-9865-021bb87dcc03.md,83,- HealthWest order/materials + service proof + delivery timing evidence,HEALTHWEST_EVAL;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,174,"52. Father has a deep, genuine, and well-documented love for L.D.W. Prior to the denial of parenting time, Father was actively and lovingly involved in L.D.W.'s life. The forced 329+ day separation has not diminished Father's love and emotional connection to his son; it has only deepened Father's resolve to restore the relationship. **This factor favors Father or, at minimum, is neutral**, as both parents are presumed to have emotional ties to the child absent evidence to the contrary.",MEDICATION_CONDITION;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,182,"54. Father has the capacity and disposition to provide for L.D.W.'s material needs, including food, clothing, and medical care. Father's commitment to providing for L.D.W. is evidenced by his sustained and costly efforts to restore parenting time. **This factor is neutral** as between the parties, absent specific evidence that either parent is unable to meet the child's material needs.",MEDICATION_CONDITION;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,314,"101. **Modification of PPO.** That the Court review and modify the Personal Protection Order entered in Case No. 2023-5907-PP to the extent necessary to permit Father to exercise parenting time with L.D.W. without restriction, or in the alternative, that the Court refer the PPO matter to the appropriate court for an evidentiary hearing consistent with due process.",PARENTING_TIME;PPO;DUE_PROCESS_FINDINGS,3
8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,39,"- **Status:** USER-ASSERTED (needs hearing notices, transcripts, clerk minute entries, and/or orders to reconstruct)",EXPARTE_USB_AUDIO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
8e5460ad-ca1d-4cac-b802-1ec6e07997fb.md,83,"- concrete orders (PPO violation/sanction orders, mittimus, contempt findings),",PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,3,"Next: I unpacked your ZIP and read **`McneillOrdertomyobjection.docx.txt`** in full. Below is the **line-by-line / sentence-by-sentence hostile-record rebuttal**, engineered to be **drop-in usable** for (a) **judicial disqualification framing**, (b) **superintending / extraordinary relief framing**, and (c) **new lawsuit / tort framing** (MEEK5) where appropriate—*without inventing facts.* Where the order asserts facts, I rebut with **(i) sworn denial / contrary framing**, **(ii) “missing findings / missing evidentiary basis” flags**, and **(iii) “proof obligations + acquisition targets”** (what document/quote to pull next to lock the rebuttal).",EXPARTE_USB_AUDIO;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,80,**RECORD_RECITED:** Setting a hearing does not cure prejudice if parenting time remained suspended meanwhile and if the hearing was later conditioned/delayed on compliance.,EXPARTE_USB_AUDIO;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,167,"**USER_ASSERTED:** Plaintiff’s job/housing disruption is a foreseeable consequence of repeated incarceration and litigation pressure, not proof of mental illness. “Could be” is speculative language and cannot substitute for findings based on competent evidence. Plaintiff denies being unsafe or unfit and denies that speculative “concern” meets any threshold to suspend parenting time.",PARENTING_TIME;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,203,**USER_ASSERTED:** This order imposes a compelled mental-health evaluation as a gatekeeping condition on parenting time without a demonstrated necessity tied to child safety findings; it operates as a coercive barrier to restore parent-child contact.,HEALTHWEST_EVAL;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,237,"**USER_ASSERTED:** These items are either disputed, context-dependent, or consequences of litigation/jailing; they are not by themselves evidence of danger to a child. Listing them as a required clinical intake suggests the Court is building a record of instability rather than adjudicating parenting-time factors.",EXPARTE_USB_AUDIO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,272,"**USER_ASSERTED:** Plaintiff complied in substance by obtaining an assessment; any alleged mismatch between “instructions” and the evaluation content does not justify continued deprivation of parenting time, especially where the evaluation’s conclusions were not adjudicated through proper evidentiary process.",HEALTHWEST_EVAL;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,404,**USER_ASSERTED:** Alleged PPO violations were driven by requests to see the child through available channels and/or within disputed boundaries of permitted exchange communication; Plaintiff denies any criminal wrongdoing and denies that contact for parenting purposes equates to harassment. A PPO compliance issue should not be used to erase custody/PT rights without rigorous findings and proportional remedies.,MEDICATION_CONDITION;PPO;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,421,"“Once the Plaintiff provides the requested assessment as stated above, the Court will continue the hearing on his objection to the ex parte order.”",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;DUE_PROCESS_FINDINGS,3
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,450,"That appendix becomes the spine for (1) judicial disqualification framing, (2) superintending/extrajudicial relief framing, and (3) tort narrative causation framing (job/housing losses tied to incarceration + deprivation of parenting time).",PARENTING_TIME;CONTEMPT_JAIL;BIAS_RECUSAL_JTC,3
d8c1df2c-f070-4111-8b75-8064f1a6a996.md,15,"- You previously reported multiple continued hearings on the objections, non-service issues, and a second HealthWest-related evaluation/order problem that you had to obtain through FOIA.",HEALTHWEST_EVAL;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
d8c1df2c-f070-4111-8b75-8064f1a6a996.md,28,"- You report that while you were jailed, Judge McNeill issued an order on your objections to the ex parte suspension that **continued the suspension** and added conditions:",MCNEILL;EXPARTE_USB_AUDIO;CONTEMPT_JAIL,3
d8c1df2c-f070-4111-8b75-8064f1a6a996.md,172,## B. Related contempt/PPO court (same court family or issuing court) — record survival and cross-over containment,EXPARTE_USB_AUDIO;PPO;CONTEMPT_JAIL,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,12,"- **MEEK2 (Custody/PT):** an ex parte parenting-time suspension and continuance/conditioning chain centered on **2025-08-08** and **2025-09-09**, with service/notice defects and HealthWest/FOIA issues flagged.",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;SERVICE_NOTICE,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,13,"- **MEEK3 (PPO/Contempt):** a PPO extension and contempt/sanction hearing sequence spanning **2024-11-19** through **2025-06-12**, including jail/fine sanctions.",PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,54,"### B. PPO/contempt lane is powerful pattern and prejudice evidence, but should stay lane-disciplined",PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,87,"| VM-01 | 14th Circuit Family | MEEK2 | Motion to restore/expand parenting time (or modify temporary restriction) | HIGH (sample-supported, but final draft needs order quotes/service pins) | Active deprivation chain (8/8 ex parte + 9/9 continuance) and continuing prejudice |",EXPARTE_USB_AUDIO;PARENTING_TIME;SERVICE_NOTICE,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,89,"| VM-03 | 14th Circuit Family | MEEK2 | Motion for relief from order (ex parte/continuance chain) | MED-HIGH | Procedural irregularity, non-service, newly obtained records, possible misrepresentation/record-integrity issues |",EXPARTE_USB_AUDIO;MEDICATION_CONDITION;SERVICE_NOTICE,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,93,| VM-07 | 14th Circuit PPO lane | MEEK3 | Motion to modify/terminate PPO or narrow terms (if active and fact support exists) | MED | Active PPO extension through 2025-12-04 (record-recited in sample) and downstream prejudice |,EXPARTE_USB_AUDIO;MEDICATION_CONDITION;PPO,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,96,| VM-10 | Michigan Court of Appeals | MEEK3 | COA review of PPO contempt/sanction orders (leave or other proper appellate vehicle) | MED | Entered sanction nodes 2/28 and 6/12 plus liberty prejudice |,MEDICATION_CONDITION;PPO;CONTEMPT_JAIL,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,114,"- **Relief target:** Immediate hearing, restoration plan, make-up parenting time, narrow conditions, written findings",MEDICATION_CONDITION;PARENTING_TIME;DUE_PROCESS_FINDINGS,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,122,- **Proof targets:** FOIA request/response timestamps; HealthWest delivery email/metadata; missing POS; affected hearing notices,HEALTHWEST_EVAL;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,176,"- **Proof targets:** Sanction orders, transcripts, mittimus/jail records, notice proofs, motion-to-dismiss strike order",EXPARTE_USB_AUDIO;CONTEMPT_JAIL;SERVICE_NOTICE,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,252,"#### VM-17 — Motion to compel/issue subpoenas for third-party records (HealthWest, law enforcement, service records)",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;SERVICE_NOTICE,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,291,"1. **8/8/2025 ex parte custody/PT order** — exact operative clauses, findings language, service proof, entry date.",EXPARTE_USB_AUDIO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS,3
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,294,4. **PPO contempt chain orders** — 2/28/2025 and 6/12/2025 exact sanction text + transcripts + notice/service.,PPO;CONTEMPT_JAIL;SERVICE_NOTICE,3
3055edeb-0469-492a-9865-021bb87dcc03.md,36,| CHRON-013 | 2025-08-06 | Ex parte order suspending parenting time (narrative chronology anchor) | DOC_RECITED_ANALYSIS | NoReply_20260105_131859_0009.pdf |,EXPARTE_USB_AUDIO;PARENTING_TIME,2
3055edeb-0469-492a-9865-021bb87dcc03.md,39,| CHRON-016 | 2025-08-22 | Hearing date shown in Plaintiff prep/slideshow packet | DOC_EXTRACTED | expartescannedandmine_0007.pdf |,EXPARTE_USB_AUDIO;DUE_PROCESS_FINDINGS,2
3055edeb-0469-492a-9865-021bb87dcc03.md,44,| CHRON-021 | 2025-10-08 | HealthWest records/assessment discussion and no-contact concerns (narrative) | DOC_RECITED_ANALYSIS | NoReply_20260105_131859_0011.pdf |,EXPARTE_USB_AUDIO;HEALTHWEST_EVAL,2
3055edeb-0469-492a-9865-021bb87dcc03.md,47,| CHRON-024 | 2025-11-26 | PPO violation hearing and order following hearing date appears in packet/order pages | DOC_EXTRACTED / DOC_RECITED_ANALYSIS | 2sided judge orders scanned_0001.pdf; NoReply_20260105_131859_0011.pdf |,PPO;DUE_PROCESS_FINDINGS,2
3055edeb-0469-492a-9865-021bb87dcc03.md,55,"- The order recitations mention a **HealthWest second-assessment** issue and adjournment logic, which supports your service/non-service and due-process analysis lane.",HEALTHWEST_EVAL;SERVICE_NOTICE,2
3055edeb-0469-492a-9865-021bb87dcc03.md,61,| V-TRIAL-001 | Muskegon 14th Circuit (Family) | Motion to modify/restore parenting time + evidentiary hearing request | HIGH_PRIORITY (timeliness/order-pin check needed) | CHRON-013..CHRON-022 (+ CHRON-012 no-contact anchor) |,PARENTING_TIME;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,40,"3. Michigan law creates a strong presumption in favor of parenting time, recognizing that ""[i]t is presumed to be in the best interests of a child for the child to have a strong relationship with both of his or her parents."" MCL 722.27a(1). Parenting time shall be granted ""in sufficient frequency, duration, and type reasonably calculated to promote a strong relationship between the child and the parent."" MCL 722.27a(1).",MEDICATION_CONDITION;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,44,"5. Father brings this emergency motion because every additional day of denied parenting time inflicts irreparable harm on both Father and the minor child, and the matter requires the Court's immediate intervention.",MEDICATION_CONDITION;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,56,"9. This motion is properly brought pursuant to MCL 722.27a (parenting time), MCR 3.207 (domestic relations proceedings), and MCR 3.208 (Friend of the Court).",PARENTING_TIME;FOC_SUPPORT,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,86,19. Refusing to make the child available for scheduled parenting time on multiple occasions documented in the record of this case.,EXPARTE_USB_AUDIO;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,110,"29. Father completed and passed a comprehensive psychological evaluation conducted by HealthWest, with clearance provided by Dr. DeAugustine. This professional evaluation found no psychological condition, impairment, or risk factor that would preclude Father from safely and effectively exercising parenting time with L.D.W.",HEALTHWEST_EVAL;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,112,"30. The HealthWest evaluation and Dr. DeAugustine's clearance represent a professional, clinical determination of Father's fitness — a determination that carries significant evidentiary weight and that has not been contradicted by any competing professional evaluation in this matter.",HEALTHWEST_EVAL;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,116,32. The consistent absence of any substantiated finding of abuse or misconduct across more than seven separate investigations constitutes powerful evidence that the allegations against Father are unfounded and have been made for the improper purpose of obstructing parenting time.,PARENTING_TIME;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,124,"35. Upon information and belief, this PPO was issued without a proper evidentiary hearing at which Father had a meaningful opportunity to be heard, to present evidence, and to cross-examine witnesses, as required by due process.",PPO;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,126,"36. The PPO has been utilized as a mechanism to enforce the complete denial of Father's parenting time, despite the fact that a PPO is not a custody or parenting time order and does not, standing alone, extinguish a parent's fundamental constitutional rights.",PARENTING_TIME;PPO,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,128,"37. The procedural deficiencies surrounding the issuance of the PPO raise serious due process concerns under the Fourteenth Amendment. See *Santosky v. Kramer*, 455 U.S. 745, 753-54 (1982) (holding that due process requires fundamentally fair procedures before the state may interfere with a parent's liberty interest in the companionship of his child).",PPO;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,134,"39. These damages include, but are not limited to, lost wages, attorney fees and legal costs, costs of compliance with court-imposed requirements (including the HealthWest evaluation), travel costs, communication costs, and other expenses directly attributable to the ongoing denial of parenting time and Mother's obstructive conduct.",HEALTHWEST_EVAL;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,142,42. Father has identified what he believes to be a pattern of ex parte communications and proceedings that have occurred without proper notice to Father or an opportunity for Father to be heard.,EXPARTE_USB_AUDIO;SERVICE_NOTICE,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,162,"48. The presumption in favor of parenting time can only be overcome by a showing that parenting time would endanger the child's physical, mental, or emotional health. MCL 722.27a(3). No such showing has been made in this case. To the contrary, the HealthWest evaluation and Dr. DeAugustine's clearance affirmatively establish that Father poses no risk to L.D.W.",HEALTHWEST_EVAL;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,164,"49. As the Michigan Court of Appeals held in *Shade v. Wright*, 805 N.W.2d 1, 7 (Mich. App. 2011), a court must make specific findings based on the statutory best interest factors before modifying or restricting parenting time. A blanket denial of all parenting time without such findings is legally insufficient and constitutes an abuse of discretion.",PARENTING_TIME;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,214,"63. Father, by contrast, has demonstrated the strongest possible willingness to facilitate a relationship between L.D.W. and both parents, as evidenced by his persistent and costly efforts to restore parenting time through proper legal channels. **This factor strongly and decisively favors Father.**",PARENTING_TIME;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,248,76. This *de facto* termination has occurred without: (a) a finding of unfitness by clear and convincing evidence; (b) a full evidentiary hearing on the question of whether parenting time would endanger L.D.W.; (c) the appointment of counsel for Father as required in termination proceedings; or (d) any of the other procedural safeguards that the Due Process Clause mandates before such a drastic interference with parental rights.,PARENTING_TIME;DUE_PROCESS_FINDINGS,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,254,78. MCL 722.27a(7) provides specific remedies for the wrongful denial of parenting time:,MEDICATION_CONDITION;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,258,"79. The statute further authorizes the court to modify the custody or parenting time order, hold the offending party in contempt, and award actual costs and attorney fees. MCL 722.27a(7)(b)-(d).",PARENTING_TIME;CONTEMPT_JAIL,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,264,### E. The Friend of the Court Has Failed to Protect Father's Parenting Time Rights,PARENTING_TIME;FOC_SUPPORT,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,266,"82. MCR 3.208 establishes the role of the Friend of the Court in domestic relations proceedings, including the responsibility to investigate and make recommendations regarding parenting time and to assist in the enforcement of parenting time orders.",PARENTING_TIME;FOC_SUPPORT,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,268,"83. Despite Father's documented efforts to report the denial of parenting time and to seek enforcement assistance, the Friend of the Court has failed to take effective action to ensure Father's parenting time rights are protected.",PARENTING_TIME;FOC_SUPPORT,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,270,84. Father respectfully requests that the Court direct the Friend of the Court to conduct a thorough investigation of the denial of parenting time and to make recommendations consistent with the legal analysis set forth in this motion.,PARENTING_TIME;FOC_SUPPORT,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,298,"93. **Immediate Restoration of Parenting Time.** That the Court enter an emergency order restoring Father's parenting time with L.D.W. on a schedule consistent with MCL 722.27a(1), to begin within seventy-two (72) hours of the entry of the Order.",MEDICATION_CONDITION;PARENTING_TIME,2
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,304,"96. **Expanded Parenting Time Schedule.** That upon completion of the graduated reintroduction, the Court enter a parenting time order providing Father with parenting time at least equal to the Muskegon County Friend of the Court standard parenting time schedule, with additional time as makeup parenting time.",PARENTING_TIME;FOC_SUPPORT,2
